matrixSize, inverceDuration(milliseconds)
0, 0
10, 0
20, 0
30, 0
40, 0
50, 0
60, 0
70, 1
80, 5
90, 2
100, 6
110, 6
120, 5
130, 8
140, 9
150, 10
160, 8
170, 12
180, 10
190, 9
200, 20
210, 20
220, 19
230, 27
240, 35
250, 33
260, 32
270, 29
280, 34
290, 34
300, 37
310, 60
320, 49
330, 61
340, 61
350, 80
360, 80
370, 79
380, 81
390, 96
400, 97
410, 105
420, 104
430, 126
440, 132
450, 134
460, 153
470, 169
480, 178
490, 167
500, 177
510, 186
520, 203
530, 257
540, 236
550, 265
560, 285
570, 294
580, 302
590, 363
600, 361
610, 404
620, 452
630, 482
640, 525
650, 521
660, 558
670, 545
680, 589
690, 656
700, 612
710, 544
720, 615
730, 675
740, 563
750, 757
760, 667
770, 735
780, 762
790, 732
800, 799
810, 828
820, 842
830, 842
840, 868
850, 890
860, 969
870, 984
880, 1012
890, 1006
900, 1089
910, 1166
920, 1169
930, 1176
940, 1225
950, 1273
960, 1290
970, 1357
980, 1373
990, 1455
1000, 1493
1010, 1539
1020, 1765
1030, 1683
1040, 1701
1050, 1667
1060, 1804
1070, 1942
1080, 1930
1090, 2022
1100, 2095
1110, 2054
1120, 2082
1130, 2308
